"RGN_CD","ACTC_FCLT_SN","ACTC_FCLT_SE_CD","DONG_CD","ACTC_BLDG_MNG_NO","DADDR","DSSTR_ACTC_FCLT_NM","DSSTR_ACTC_PSBLTY_TNOP","EMD_SN","ETC_CNVN_FCLT_YN","FCAR","STDG_CD","MNG_REPE_TELNO","MESE_FCTY_YN","MLMD_MNG_NO","RONA_DADDR","TELNO","WEB_GIS_LINK_YN","WEB_GIS_LINK_ADDR","BMNO","BSNO","WASU_YN","RPRSV_NM","USE_SE_CD","FRST_REG_DT","ACTC_SE_CD","LAST_MDFCN_DT","SGG_ROAD_NM","SGG_RONA_CD","SGG_NM_KORN","KORN_CTPV_NM","EMD_NM_KORN","UDGD_YN","FXNO","TLT_YN","ROAD_NM_ADDR_CD","ERQK_SHNT_YN","XCRD","YCRD","NDMS_LOT","NDMS_LAT","MNG_DEPT_CD","ACTC_FCLT_DTL_CN","ATCH_FILE_ID","MLNO_YN","LOTNO_MNO","LOTNO_SNO","DSGN_YMD","MVMN_TELNO"
"지역코드","수용시설일련번호","수용시설구분코드","행정동코드","수용건물관리번호","상세주소","이재민수용시설명","이재민수용가능인원","읍면동일련번호","기타편의시설여부","시설면적","법정동코드","관리책임자전화번호","급식시설여부","멀티미디어관리번호","도로명상세주소","전화번호","웹GIS연계여부","웹GIS연계주소","건물본번","건물부번","급수여부","대표자명","사용구분코드","최초등록일시","수용구분코드","최종수정일시","시군구도로명","시군구도로명코드","시군구명한글","한글시도명","읍면동명한글","지하여부","팩스번호","화장실여부","도로명주소코드","지진대피여부","X좌표","Y좌표","NDMS경도","NDMS위도","관리부서코드","수용시설상세내용","첨부파일아이디","산번지여부","지번본번","지번부번","지정일자","이동전화번호"
"4690000000","9","001","4690031000","4690031024103560002007502","356-2","금성초등학교","253","1         ","0","659","4690031024","010****4592","1","","","061-542-9266","","","58","0","","금*****장","1","2014/04/24 15:34:38.000000000","1","2023/11/21 15:02:51.000000000","금골길","469004703052","진도군","전라남도","군내면","0","","1","4690031024103560002007502","N","889241.4322","1616595.1411","126.29301462057671","34.537438419934304","5000123","체육관","","0","356","2","20000101",""
"4690000000","11","001","4690032000","4690032027110480003018021","1048-3","오산초등학교","1151","3         ","0","2993","4690032027","010****9105","1","","","061-543-1064","","","288","0","","오*****장","1","2014/04/24 15:34:28.000000000","1","2023/11/21 16:02:54.000000000","진도대로","469002017002","진도군","전라남도","고군면","0","","1","4690032027110480003018021","N","893666.34955","1611485.904","126.3418636916799","34.49183897963677","5000123","본관 1층","","0","1048","3","20000101",""
"4690000000","14","001","4690035000","4690035021102400002012915","240-2","지산초등학교","565","1         ","0","1469","4690035021","010****3647","1","","","061-542-3733","","","21","12","","지*****장","0","2014/04/24 15:34:23.000000000","1","2025/08/18 15:36:31.000000000","인지독치1길","469004703235","진도군","전라남도","지산면","0","","1","4690035021102400002012915","N","877485.5075","1603914.18025","126.1667545","34.42177667","5000123","본관","","0","240","2","20000101",""
"4690000000","18","001","4690034000","4690034026103030001035678","416","석교초등학교","795","1         ","","2067","4690034026","010****0726","1","","","061-543-3107","","","47","18","","석*****장","1","2014/04/24 15:28:58.000000000","1","2023/11/21 16:03:19.000000000","석교길","469004703152","진도군","전라남도","임회면","0","","1","4690034026103030001035678","Y","879806.56755","1602171.34305","126.166525","34.421913","5000123","본관","","0","416","0","20000101",""
"4374500000","316","007","4374525000","4374525032102530000005846","253","증평종합스포츠센터","1816","1         ","0","4724","4374525032","043-835-3661","0","","","043-835-3544","","","23","0","","이*영","1","2013/04/02 14:41:55.000000000","1","2024/09/09 14:19:03.000000000","인삼로","437453244025","증평군","충청북도","증평읍","0","","1","4374525032102530000005846","Y","1006511.335","1865463.2016","127.5729779553226","36.787285998951866","5570051","강당","","0","253","0","20190624",""
"4374500000","317","001","4374531000","4374531021100870000001997","87","도안초등학교","327","1         ","0","851","4374531021","043-836-8017","1","","","043-835-3513","","","101","0","","임*빈","1","2013/04/02 14:41:50.000000000","1","2024/09/09 15:11:00.000000000","화성로","437453244023","증평군","충청북도","도안면","0","","1","4374531021100870000001997","Y","1009932.2778","1868728.49","127.61136186746714","36.81669193786304","5570051","다목적교실","","0","87","0","20190624",""
"4374500000","318","001","4374525000","4374525030100110019007045","11-19","삼보초등학교","454","1         ","0","1181.49","4374525030","043-836-7992","1","","","043-835-3513","","","140","0","","김*곤","1","2014/02/04 15:05:15.000000000","1","2024/09/09 14:43:58.000000000","삼보로","437453244011","증평군","충청북도","증평읍","0","","1","4374525030100110019007045","N","1007055.2682","1864428.1009","127.57906467685363","36.77795092682087","5570051","다목적교실","","0","11","19","20190624",""
"4374500000","319","001","4374525000","4374525028107260000008161","726","증평중학교","437","1         ","0","1137","4374525028","043-836-2045","1","","","043-835-3513","","","158","0","","","1","2013/04/02 14:41:40.000000000","1","2024/09/09 15:02:10.000000000","광장로","437453014040","증평군","충청북도","증평읍","0","","1","4374525028107260000008161","N","1008024.40725","1864883.14705","127.58993008897198","36.782045341731454","5570051","다목적교실","","0","726","0","20190624",""
"4374500000","320","001","4374525000","4374525028107130000006955","713","증평공업고등학교","237","1         ","0","617","4374525028","043-838-0338","1","","","043-835-3513","","","180","0","","","1","2014/02/27 16:16:29.000000000","1","2024/09/09 14:49:43.000000000","광장로","437453014040","증평군","충청북도","증평읍","0","","1","4374525028107130000006955","N","1008141.7823","1864814.66965","127.59124478601575","36.781427033373355","5570051","다목적교실","","0","713","0","20190624",""
"4421000000","364","018","4421031000","","258-3","어울림건강센터","151","","","545","4421031021","041-660-3406","","","체육관(제2동)","041-660-3403","","","74","21","1","서**장","1","2025/12/22 18:52:48.000000000","1","2025/12/22 18:52:48.000000000","","","","","","0","","1","4421031021102580003089910","N","904052.0852","1862263.963764","126.42511993646599","36.75361283363842","4530320","체육관(실내)","","0","258","3","20251222","041-660-3406"
"4421000000","362","018","4421051000","","90-0","서산시민체육관","407","","","1468","4421010300","041-660-2089","","","제2동","041-660-3984","","","661","0","1","서**장","1","2025/12/22 18:09:16.000000000","1","2025/12/22 18:09:16.000000000","","","","","","0","","1","4421010300108780005026018","N","905091.833158","1867153.797042","126.4361572265623","36.7977905879789","4530320","체육관(실내)","","0","90","0","20251222","041-660-2089"
"4421000000","365","018","4421033000","","1437-1","팔봉문화복지회관","56","","","202","4421033028","041-660-3445","","","제1동","041-660-3792","","","2","0","1","서**장","1","2025/12/22 19:15:42.000000000","1","2025/12/22 19:15:42.000000000","","","","","","0","","1","4421033028114370001082915","Y","897386.424404","1868707.69964","126.34959161281554","36.810991920489315","4530320","강당(1층), 다목적실(2층)","","0","1437","1","20251222","041-660-3445"
"4374500000","321","007","4374525000","4374525028100180000006242","18","증평여성회관","749","1         ","0","1949","4374525028","043-835-3525","1","","","043-835-3541","","","72","0","","이*영","1","2013/04/02 14:41:30.000000000","1","2024/09/09 14:05:43.000000000","문화로","437453244008","증평군","충청북도","증평읍","0","","1","4374525028100180000006242","N","1008094.66965","1865287.3016","127.59072181813698","36.785688094900586","5570051","회의실 등","","0","18","0","20190624",""
"4374500000","322","017","4374525000","4374525021101540000007737","156-0","한국기독교장로회 증평교회","431","1         ","0","1122","4374525021","043-836-2426","1","","","043-835-3541","","","48","0","","복*규","1","2013/04/02 14:41:25.000000000","1","2024/11/12 11:56:49.000000000","신교길","437454532108","증평군","충청북도","증평읍","0","","1","4374525021101560000007766","N","1007549.44925","1864975.3084","127.58460812039895","36.78288005819829","5570051","예배실 등","","0","156","0","20190624",""
"4129000000","2","004","4129052000","4129010200106790000002889","679-0","갈현동주민센터","38","2         ","","99","4129010300","","1","","","02-2150-3204","","","28","0","","","0","2011/04/12 21:30:01.000000000","1","2023/08/07 08:57:39.000000000","중앙로","412903195060","과천시","경기도","갈현동","0","02-507-8642","1","4129010200106790000002889","Y","954792.800469","1935707.55576","126.98909930375143","37.41940608073949","3970095","강당","","0","679","0","20210201",""
"4129000000","3","018","4129053000","4129010900100120000000039","12","별양동주민센터","38","2         ","","99","4129010900","","1","","별양동주민센터","02-2150-3310","","","60","0","","","1","2011/04/12 21:29:36.000000000","1","2024/09/12 23:16:52.000000000","별양로","412903195020","과천시","경기도","","0","025078643","1","4129010900100120000000039","Y","955206.132994","1936235.560687","126.99373829657671","37.42418531245499","3970095","3층 대강당","","0","12","0","20210201",""
"4129000000","4","018","4129055000","4129010500105380001002735","538-9","과천동회관","68","4         ","","179","4129010500","","1","","과천동회관","02-2150-3504","","","608","7","","","1","2011/04/12 21:28:31.000000000","1","2024/09/12 23:18:11.000000000","과천대로","412902000004","과천시","경기도","","0","02-2150-8645","1","4129010500105380009002737","Y","955351.752721","1938888.524568","126.99522346258163","37.448104610178575","3970095","3층 대회의실","","0","538","9","20210201",""
"4129000000","5","018","4129051000","4129010700100680000000001","68","중앙동주민센터","38","1         ","","99","4129010700","","1","","중앙동행정복지센터","02-2150-3105","","","136","0","","","1","2011/04/12 21:30:22.000000000","1","2024/09/12 23:14:16.000000000","관문로","412903195003","과천시","경기도","","0","02-507-8641","1","4129010700100680000000001","Y","955187.153179","1937230.35558","126.99346338281626","37.43315090044505","3970095","3층 대강당","","0","68","0","20210201",""
"4129000000","7","004","4129056000","4129010200100150011001914","187-1","문원동주민센터","63","1         ","","165","4129010200","","1","","문원동 주민센터","02-2150-3608","","","35","0","","","0","2011/04/12 21:30:11.000000000","1","2023/08/07 09:11:56.000000000","공원마을1길","412904385005","과천시","경기도","","0","02-507-8646","1","4129010200101870001000001","Y","955986.101371","1936903.778624","127.00251336465973","37.43024567529107","3970095","강당","","0","187","1","20210201",""
"4129000000","12","018","4129051000","4129010700100060002000751","6-2","과천시민회관","523","1         ","","1361","4129010700","","1","","","025001336","","","5","0","1","이*걸","1","2011/04/12 21:24:27.000000000","1","2024/09/12 23:13:37.000000000","통영로","412903195051","과천시","경기도","","0","","1","4129010700100060002000751","Y","954844.906817","1936659.840105","126.98962989574633","37.42799196749341","3970095","1층 대체육관","","0","6","2","20210201",""
"4129000000","13","004","4129055000","4129010500102490000000271","249","환경사업소","18","1         ","","49","4129010500","","1","","","02-2150-3754","","","17","0","","","0","2011/04/12 21:24:41.000000000","1","2023/08/07 09:10:18.000000000","상하벌로","412903195030","과천시","경기도","","0","","1","4129010500102490000000271","N","955977.816735","1938965.020744","127.00229669635424","37.44882411860131","3970095","관리동 홍보관","","0","249","0","20210201",""
"2726000000","1","001","2726051000","2726010100106780003017075","678-3","동산초등학교","953","1         ","0","2478","2726010100","010****","0","","","010****","","","29","0","","","0","2014/04/03 10:32:30.000000000","1","2018/08/29 09:29:46.000000000","동대구로42길","272604238121","수성구","대구광역시","범어동","0","053) 744-2205","0","2726010100106780003017075","N","1101846.86975","1761992.632","128.62786272563716","35.84918011914009","","","","0","678","3","",""
"2726000000","2","001","2726052000","2726010100101530002032850","154","범어초등학교","882","1         ","0","2295","2726010100","010****","0","","","010****","","","55","0","","","0","2014/04/03 10:32:45.000000000","1","2018/08/29 09:29:46.000000000","달구벌대로489길","272604238062","수성구","대구광역시","범어동","0","053) 756-2219","0","2726010100101530002032850","N","1102352.6627","1763248.41695","128.6336241053384","35.860447557532325","","","","0","154","0","",""
"2726000000","4","001","2726065100","2726011200112960000007329","1296","지봉초등학교","1341","1         ","0","3488","2726011200","010****","0","","","010****","","","45","0","","","0","2014/04/03 10:33:30.000000000","1","2017/05/19 15:39:41.000000000","지범로31길","272604238366","수성구","대구광역시","","0","053) 781-8636","0","2726011200112960000007329","N","1103054.54355","1759361.0153","128.64089452150552","35.82533141852231","","","","0","1296","0","",""
"4421000000","367","018","4421054000","","505-4","수석동 주민자치센터","61","","","220","4421010700","041-660-3643","","","나동(주민자치센터)","041-660-3645","","","2","0","1","서**장","1","2025/12/22 19:34:19.000000000","1","2025/12/22 19:34:19.000000000","","","","","","0","","1","4421010700105050004044411","N","907865.105813","1864159.966609","126.46760076284393","36.77108030129234","4530320","다목적실(2층)","","0","505","4","20251222","041-660-3643"
"2726000000","5","001","2726068000","2726011400101610001027175","161-1","고산초등학교","2129","7         ","0","5536","2726011400","010****","0","","","010****","","","3067","0","","","0","2014/04/03 10:33:20.000000000","1","2018/08/29 09:29:46.000000000","달구벌대로","272602007002","수성구","대구광역시","시지동","0","053) 791-3611","0","2726011400101610001027175","N","1107762.6189","1761514.55385","128.69329737271497","35.84423791042583","","","","0","161","1","",""
"2726000000","6","001","2726055000","2726010200102620000036773","262","동문초등학교","847","1         ","0","2203","2726010200","010****","0","","","010****","","","111","0","","","0","2014/04/03 10:33:50.000000000","1","2017/05/19 15:36:38.000000000","효행로2길","272604238468","수성구","대구광역시","","0","","0","2726010200102620000036773","N","1103988.93885","1764865.25205","128.65195463769663","35.874849870746026","","","","0","262","0","",""
"2726000000","7","001","2726069000","2726011500113320001027333","1332-1","시지초등학교","1306","1         ","0","3396","2726011500","010****","1","","","010****","","","17","0","","","0","2014/04/03 10:34:05.000000000","1","2018/08/29 09:29:46.000000000","달구벌대로631길","272604238096","수성구","대구광역시","매호동","0","","1","2726011500113320001027333","N","1108660.24005","1761502.6918","128.703233507063","35.84403187693031","","","","0","1332","1","",""
"2726000000","8","001","2726066200","2726011300113640000002834","1364","범일초등학교","3249","1         ","0","8449","2726011300","010****","1","","","010****","","","22","0","","","0","2014/04/03 10:34:20.000000000","1","2018/08/29 09:29:46.000000000","범안로4길","272604238231","수성구","대구광역시","범물동","0","","1","2726011300113640000002834","N","1102958.07845","1758374.0843","128.63969957557117","35.81644493493506","","","","0","1364","0","",""
"2814000000","17","001","2814064000","2814010500100300000003478","37-2","인천창영초등학교","163","1         ","0","425","2814010600","032-765-4332","1","","체육관","032-770-6563","","","16","0","","","1","2014/04/04 14:04:15.000000000","1","2024/11/21 16:20:17.000000000","우각로","281403150020","동구","인천광역시","창영동","0","032-764-2348","1","2814010600100370002206983","N","923873.567577","1941794.271679","126.63907170295708","37.47223766377533","3500144","강당","","0","37","2","20190617","032-765-4332"
"2820000000","62","001","2820065000","2820010500105430007019075","543-7","서창중학교","191","1         ","0","498","2820010500","032-629-6222","1","","","032-629-6222","","","16","0","1","","1","2013/04/12 10:24:11.000000000","1","2024/10/17 13:50:52.000000000","독곡로60번길","282004259286","남동구","인천광역시","","0","","1","2820010500105430007019075","Y","933611.680332","1937450.589523","126.74958383092677","37.43383929232376","3530156","다목적강당","","0","543","7","20221108","032-629-6222"
"2820000000","63","001","2820069000","2820011000101710003019333","602-2","논현초등학교","246","1         ","0","640","2820011000","032-446-5191","1","","","032-446-5191","","","102","0","1","","1","2013/04/12 10:24:07.000000000","1","2024/11/07 11:06:37.000000000","소래역로","282003153048","남동구","인천광역시","","0","","1","2820011000101710003019333","Y","931904.423737","1934282.679968","126.73057972616972","37.405162920669724","3530156","체육관(2층)","","0","602","2","20221108","032-446-5191"
"2820000000","64","001","2820069000","2820011000101060008017881","600-2","장도초등학교","250","1         ","0","652","2820011000","032-446-9781","1","","","032-446-9781","","","112","0","1","","1","2013/04/12 10:24:06.000000000","1","2024/11/07 11:05:24.000000000","포구로","282003153077","남동구","인천광역시","","0","","1","2820011000101060008017881","Y","932130.712383","1934574.822802","126.73310954077049","37.40781261469934","3530156","강당(교사동2층)","","0","600","2","20221108","032-446-9781"
"2820000000","65","001","2820070000","2820011000103400004000001","633-8","동방초등학교","261","1         ","0","680","2820011000","032-442-0343","1","","동방초등학교","032-442-0343","","","31","0","1","","1","2013/04/12 10:24:01.000000000","1","2024/11/12 19:49:32.000000000","논현역로","282003153017","남동구","인천광역시","","0","","1","2820011000103400004000001","Y","930916.811016","1934031.965718","126.71944495085938","37.40283009706127","3530156","강당(교사동 2층)","","0","633","8","20221108","032-442-0343"
"4150000000","100","003","4150025000","4150025023200280010021942","산28-10","진암6리 경로당","38","1         ","0","100","4150025023","010****","1","","","010****","","","6","17","","석*석","0","2014/02/11 13:56:40.000000000","1","2019/02/27 15:32:27.000000000","서동대로8830번길","415004421369","이천시","경기도","장호원읍","0","","1","4150025023200280010021942","N","1010299.5757","1901755.70985","127.61593060527488","37.11441068448784","4070128","경로당","","1","28","10","","010****7877"
"4150000000","101","003","4150025000","4150025023100170018021948","17-18","진암7리 경로당","59","1         ","0","154","4150025023","010****","1","","","010****","","","8844","15","","김*현","0","2013/07/04 14:21:00.000000000","1","2019/02/27 15:33:04.000000000","서동대로","415002012006","이천시","경기도","장호원읍","0","","1","4150025023100170018021948","N","1010519.9312","1901769.60015","127.61841108662401","37.114533443828755","4070128","경로당","","0","17","18","","011-345-9651"
"4150000000","106","003","4150025000","4150025030104220000024621","422","나래1리 경로당","26","1         ","0","70","4150025030","010****","1","","","010****","","","73","54","","강*영","0","2013/07/04 14:50:01.000000000","1","2019/02/27 14:22:36.000000000","나래천로509번길","415004421147","이천시","경기도","장호원읍","0","","1","4150025030104220000024621","N","1007650.7838","1908671.0482","127.58618690701245","37.17677231483109","4070128","경로당","","0","422","0","","010****4771"
"4421000000","363","018","4421051000","","100-0","서산어울림체육관","505","","","1820","4421010300","041-660-2089","","","제8동","041-660-3984","","","661","0","1","서**장","1","2025/12/22 18:17:55.000000000","1","2025/12/22 18:17:55.000000000","","","","","","0","","1","4421010300108780005026018","Y","905278.031541","1867326.634223","126.43822252750378","36.7993670502444","4530320","체육관(실내)","","0","100","0","20251222","041-660-2089"
