"REARE_NM","RONA_DADDR","LAT","LOT","SHLT_SE_CD","SHLT_SE_NM","MNG_SN"
"시설명","도로명전체주소","위도","경도","대피소구분코드(한파쉼터:1,무더위쉼터:2,지진옥외대피장소:3,지진해일긴급대피장소:4)","대피소구분명","관리일련번호"
"CU편의점휘닉스점","강원특별자치도 평창군 봉평면 안흥동길 14","37.591737","128.317268","1","한파쉼터","T2025112000042000801803"
"(40417)참바른병원버스정류장","울산광역시 남구 삼산로 246","35.538289","129.334128","1","한파쉼터","T2025110400041700793668"
"(40404)공업탑버스정류장","울산광역시 남구 삼산로 17","35.533117","129.309767","1","한파쉼터","T2025110400041700793667"
"(40403)공업탑버스정류장","울산광역시 남구 삼산로 24 (프라자빌딩)","35.5327","129.310409","1","한파쉼터","T2025110400041700793666"
"(40402)공업탑버스정류장","울산광역시 남구 삼산로 11","35.53299","129.309268","1","한파쉼터","T2025110400041700793665"
"(40401)공업탑버스정류장","울산광역시 남구 삼산로 18","35.532561","129.309976","1","한파쉼터","T2025110400041700793664"
"(31714)보람병원입구버스정류장","울산광역시 남구 화합로 194","35.541793","129.33974","1","한파쉼터","T2025110400041700793663"
"(31713)보람병원입구버스정류장","울산광역시 남구 삼산동 1569-1","35.541963","129.338829","1","한파쉼터","T2025110400041700793662"
"(31115)달동사거리버스정류장","울산광역시 남구 신정동 658-6","35.535072","129.313754","1","한파쉼터","T2025110400041700793661"
"(31114)달동사거리버스정류장","울산광역시 남구 중앙로 166","35.535857","129.31406","1","한파쉼터","T2025110400041700793660"
"(31109)시청앞버스정류장","울산광역시 남구 신정동 646-4","35.539127","129.312301","1","한파쉼터","T2025110400041700793659"
"(31106)신정시장앞버스정류장","울산광역시 남구 중앙로 260","35.543919","129.310882","1","한파쉼터","T2025110400041700793658"
"(31105)신정시장앞버스정류장","울산광역시 남구 중앙로 261","35.543997","129.310259","1","한파쉼터","T2025110400041700793657"
"(30708)울산대버스정류장","울산광역시 남구 대학로 100","35.543796","129.260415","1","한파쉼터","T2025110400041700793656"
"(30707)울산대버스정류장","울산광역시 남구 대학로 93 (울산대학교)","35.542911","129.259073","1","한파쉼터","T2025110400041700793655"
"(30704)신복교차로버스정류장","울산광역시 남구 무거동 499-3","35.548836","129.263075","1","한파쉼터","T2025110400041700793654"
"(24811)장생포고래박물관버스정류장","울산광역시 남구 매암동 139-93","35.503131","129.380255","1","한파쉼터","T2025110400041700793653"
"BNK경남은행울산자유무역지점","울산광역시 울주군 청량읍처용산업3길 162","35.4809119","129.3271234","1","한파쉼터","T2025053000051800715409"
"태평1동행정복지센터","대전광역시 중구 동서대로1235번길 24-11 (태평1동 행정복지센터)","36.327922","127.397438","1","한파쉼터","T2025110709130800799072"
"BNK경남은행문수로지점","울산광역시 남구 문수로 377 (대공원센트럴하임더시티)","35.534675","129.294804","1","한파쉼터","T2025110709130800794222"
"8.9통경로당","경상북도 영천시 완산동 906-34","35.9619207","128.9380601","1","한파쉼터","T2025022600051600425976"
"(초계면)대동경로당","경상남도 합천군 초계면 대동길 26","35.5618062","128.2503056","1","한파쉼터","T2024111210555300061725"
"GS25편의점강릉옥계대로점","강원특별자치도 강릉시 옥계면 현내리 421","37.610557","129.034125","1","한파쉼터","T2026010900043600915824"
"(40418)참바른병원버스정류장","울산광역시 남구 삼산로 251 (대우증권(주))","35.539182","129.334431","1","한파쉼터","T2025110400041700793669"
"(40419)시외버스터미널버스정류장","울산광역시 남구 삼산동 561-12","35.539388","129.337957","1","한파쉼터","T2025110400041700793670"
