"SN","PRSNTN_DT","PRSNTN_HR","LAT","LOT","PSTN","ROPR_","ROPR_GRD","STDG_CTPV_CD","STDG_SGG_CD","XMAP_CRTS","YMAP_CRTS","GEOM"
"일련번호","발표일시","발표시간","위도","경도","위치","진도","진도등급","법정동시도코드","법정동시군구코드","X지도좌표","Y지도좌표","지오메트리"
"288","20160913","0203","35.76","129.17","경북 경주시 남남서쪽 10 Km 지역","2.1","3","47","47130","1.4379138625767E7","4267647.795206","POINT(14379138.625767 4267647.7952060001)"
"287","20160913","0203","35.78","129.19","경북 경주시 남남서쪽 7 Km 지역","2.2","3","47","47130","1.4381365015583E7","4270391.783601","POINT(14381365.015582999 4270391.783601)"
"286","20160913","0158","35.77","129.18","경북 경주시 남남서쪽 8 Km 지역","2.5","3","47","47130","1.4380251820675E7","4269019.703147","POINT(14380251.820675001 4269019.7031469997)"
"285","20160913","0137","35.77","129.18","경북 경주시 남남서쪽 8 Km 지역","2.2","3","47","47130","1.4380251820675E7","4269019.703147","POINT(14380251.820675001 4269019.7031469997)"
"284","20160913","0135","35.75","129.17","경북 경주시 남남서쪽 11 Km 지역","2.3","3","47","47130","1.4379138625767E7","4266276.059692","POINT(14379138.625767 4266276.059692)"
"283","20160913","0131","35.77","129.18","경북 경주시 남남서쪽 8 Km 지역","2","3","47","47130","1.4380251820675E7","4269019.703147","POINT(14380251.820675001 4269019.7031469997)"
"282","20160913","0123","35.75","129.19","경북 경주시 남남서쪽 10 Km 지역","2.2","3","47","47130","1.4381365015583E7","4266276.059692","POINT(14381365.015582999 4266276.059692)"
"281","20160913","0103","35.77","129.17","경북 경주시 남남서쪽 9 Km 지역","2","3","47","47130","1.4379138625767E7","4269019.703147","POINT(14379138.625767 4269019.7031469997)"
"280","20160913","0045","35.76","129.18","경북 경주시 남남서쪽 9 Km 지역","2.2","3","47","47130","1.4380251820675E7","4267647.795206","POINT(14380251.820675001 4267647.7952060001)"
"279","20160913","0037","35.78","129.21","경북 경주시 남쪽 6 Km 지역","3.1","4","47","47130","1.4383591405399E7","4270391.783601","POINT(14383591.405399 4270391.783601)"
"278","20160913","0032","35.76","129.19","경북 경주시 남남서쪽 9 Km 지역","2.1","3","47","47130","1.4381365015583E7","4267647.795206","POINT(14381365.015582999 4267647.7952060001)"
"277","20160913","0021","35.76","129.19","경북 경주시 남남서쪽 9 Km 지역","2.5","3","47","47130","1.4381365015583E7","4267647.795206","POINT(14381365.015582999 4267647.7952060001)"
"276","20160913","0015","35.76","129.18","경북 경주시 남남서쪽 9 Km 지역","2","3","47","47130","1.4380251820675E7","4267647.795206","POINT(14380251.820675001 4267647.7952060001)"
"275","20160913","0010","35.76","129.18","경북 경주시 남남서쪽 9 Km 지역","2","3","47","47130","1.4380251820675E7","4267647.795206","POINT(14380251.820675001 4267647.7952060001)"
"273","20160912","2353","35.77","129.19","경북 경주시 남남서쪽 8 Km 지역","2.2","3","47","47130","1.4381365015583E7","4269019.703147","POINT(14381365.015582999 4269019.7031469997)"
"423","20160912","2352","35.75","129.18","경북 경주시 남남서쪽 10 Km 지역","3.1","4","47","47130","1.4380251820675E7","4266276.059692","POINT(14380251.820675001 4266276.059692)"
"422","20160912","2318","35.76","129.17","경북 경주시 남남서쪽 10 Km 지역","3","4","47","47130","1.4379138625767E7","4267647.795206","POINT(14379138.625767 4267647.7952060001)"
"253","20141011","2211","37.73","129.43","강원 동해시 북동쪽 36 Km 해역","2.3","3","","","1.4408081693373E7","4541353.769891","POINT(14408081.693373 4541353.7698910004)"
"252","20141007","0157","33.3","125.96","제주 제주시 고산 서쪽 19 Km 해역","2.9","3","","","1.4021803060321E7","3935191.982105","POINT(14021803.060320999 3935191.9821049999)"
"251","20141001","1634","36.67","125.45","충남 태안군 서격렬비도 북서쪽 11 Km 해역","2.2","3","","","1.3965030120016E7","4393208.320928","POINT(13965030.120015999 4393208.3209279999)"
"250","20140928","2132","37.24","126.44","인천 옹진군 남서쪽 29 Km 지역","3.2","4","28","28720","1.4075236415902E7","4472612.698469","POINT(14075236.415902 4472612.6984689999)"
"249","20140925","0226","35.07","129.94","울산 동구 남동쪽 68 Km 해역","3.8","4","","","1.4464854633678E7","4173397.938046","POINT(14464854.633678 4173397.938046)"
"248","20140923","1527","35.8","129.41","경북 경주시 동남동쪽 18 Km 지역","3.5","4","47","47130","1.4405855303558E7","4273136.462385","POINT(14405855.303557999 4273136.4623849997)"
"247","20140909","0024","35.68","129.38","경북 경주시 남동쪽 23 Km 지역","2.2","3","47","47130","1.4402515718834E7","4256678.731904","POINT(14402515.718834 4256678.731904)"
"246","20140821","2230","33.87","127.83","전남 여수시 거문도 동남동쪽 51 Km 해역","2.7","3","","","1.4229970508104E7","4011359.531052","POINT(14229970.508104 4011359.5310519999)"
"245","20140818","0513","36.57","125.64","충남 태안군 서격렬비도 동남동쪽 10 Km 해역","2.1","3","","","1.3986180823267E7","4379338.618708","POINT(13986180.823267 4379338.6187079996)"
"244","20140816","0051","33.59","126.58","제주 제주시 북북동쪽 11 Km 해역","2.1","3","","","1.4090821144613E7","3973881.011937","POINT(14090821.144613 3973881.0119369999)"
"243","20140810","1807","38.15","126.63","개성(북한) 북북동쪽 21 Km 지역","2.4","3","","","1.4096387119152E7","4600637.506952","POINT(14096387.119152 4600637.5069519999)"
"242","20140805","0616","40.11","127.2","함경남도 신흥 서북서쪽 20 Km 지역","2.5","3","","","1.4159839228904E7","4881940.07889","POINT(14159839.228904 4881940.0788899995)"
"241","20140802","0132","37.4","127.2","경기 광주시 남서쪽 6 Km 지역","2.2","3","41","41610","1.4159839228904E7","4495009.258626","POINT(14159839.228904 4495009.258626)"
"238","20140704","0011","35.65","129.81","울산 동구 동북동쪽 39 Km 해역","2.5","3","","","1.4450383099875E7","4252568.16933","POINT(14450383.099874999 4252568.1693299999)"
"240","20140704","0627","34.51","125.41","전남 신안군 흑산면 남남서쪽 17 Km 해역","2.2","3","","","1.3960577340384E7","4097489.879311","POINT(13960577.340384001 4097489.879311)"
"239","20140704","0413","35.66","129.78","울산 동구 동북동쪽 37 Km 해역","2.9","3","","","1.4447043515151E7","4253938.185249","POINT(14447043.515151 4253938.1852489999)"
"236","20140703","2157","35.66","129.76","울산 동구 동북동쪽 36 Km 해역","3.5","4","","","1.4444817125335E7","4253938.185249","POINT(14444817.125335 4253938.1852489999)"
"237","20140703","2204","35.66","129.82","울산 동구 동북동쪽 40 Km 해역","2.6","3","","","1.4451496294783E7","4253938.185249","POINT(14451496.294783 4253938.1852489999)"
"235","20140621","0829","38.77","125.89","황해북도 송림 동쪽 22 Km 지역","2.6","3","","","1.4014010695965E7","4688779.38988","POINT(14014010.695964999 4688779.3898799997)"
