"ARCD","ACMDFCLTY_SN","HDONG_CD","ACMD_BULD_MNG_NO","DTL_ADRES","VT_ACMDFCLTY_NM","VT_ACMD_PSBL_NMPR","FCLTY_AR","BDONG_CD","RN_DTL_ADRES","USE_SE_CD","LO","LA","EQK_ACMDFCLTY_ADRES","TELNO"
"지역코드","수용시설일련번호","행정동코드","수용건물관리번호","상세주소","이재민수용시설명","이재민수용가능인원","시설면적","법정동코드","도로명상세주소","사용구분코드","경도","위도","지진옥외대피장소주소","전화번호"
"1111000000","75","1111051500","","1-1","국립 서울농학교 운동장","1000","500","1111010200","서울특별시 종로구 필운대로 103(신교동)","1","126.96860790252687","37.58484978981197","서울특별시 종로구 신교동 1-1","02-737-0659"
"2818500000","35","2818582000","","2-11","신송고등학교","5945","4905","2818510600","인천광역시 연수구 신송로6번길 56(송도동)","1","126.65967643260953","37.39148115356699","인천광역시 연수구 송도동 2-11","032-851-1613"
"1162000000","119","1162051000","","635-309","은천어린이공원","537","443","1162010100","","1","126.94301962852478","37.48830146551249","서울특별시 관악구 봉천동 635-309","02-879-4234"
"2826000000","152","2826062000","","1310-0","새별공원","42016","34664","2826011400","","1","126.71746716459319","37.58182900897355","인천광역시 서구 당하동 1310","0325604704"
"4421000000","41","4421033000","","","팔봉중학교 운동장","3678","3035","4421033029","충청남도 서산시 팔봉면 팔봉2로 133","1","126.36171519756292","36.78214018530901","충청남도 서산시 팔봉면 진장리 913","041-662-6006"
"2814000000","14","2814053000","","66-21","송현초등학교 운동장","5056","4172","2814010300","인천광역시 동구 송화로 45(송현동)","1","126.63326203823081","37.481618389929494","인천광역시 동구 송현동 66-21","032-764-4482"
"4159000000","145","4159555000","","50-8","안녕초등학교 운동장","1204","994","4159510900","경기도 화성시 병점구 화산로 2(안녕동)","1","127.00900197029117","37.205504347724265","경기도 화성시 병점구 안녕동 50-8","031-5189-3456"
"4825000000","40","4825037000","","400-2","대중초등학교 운동장","4317","3562","4825037023","경상남도 김해시 대동면 대동로 287","1","128.94937634468178","35.23626940863521","경상남도 김해시 대동면 주동리 400-2","055-331-6022"
"5211000000","156","5211365000","","378-3","전주원동초등학교(운동장)","7115","5870","5271033031","전북특별자치도 전주시 덕진구 원동로 3(원동)","1","127.03303500404195","35.85102880218772","전북특별자치도 완주군 이서면 반교리 378-3","063-281-5165"
"4421000000","42","4421032000","","","부석초등학교 운동장","6042","4985","4421032026","충청남도 서산시 부석면 취평2길 37-6 ","1","126.39283418655369","36.716384773318126","충청남도 서산시 부석면 취평리 387-2","041-664-8601"
"1165000000","88","1165053000","","906-14","효령어린이공원","1735","1432","1165010100","","1","126.99754937784083","37.48316265641281","서울특별시 서초구 방배동 906-14","02-2155-7112"
"1165000000","92","1165065000","","749-0","우면수변공원","26192","21609","1165010300","","1","127.01359858095016","37.45583969678499","서울특별시 서초구 우면동 749","02-2155-7112"
"2723000000","152","2723073500","","999-2","관천초등학교 운동장","5200","4340","2723012600","대구광역시 북구 구암로22길 17(태전동)","1","128.55179410512505","35.93038299881503","대구광역시 북구 태전동 999-2","053-665-4355"
"2818500000","30","2818564000","","238-1","새싹공원","2863","2362","2818510100","인천광역시 연수구 옥련로 88(옥련동)","1","126.64903879165642","37.42613005384523","인천광역시 연수구 옥련동 238-1",""
"2818500000","33","2818584000","","191-5","송명초등학교","3555","2933","2818510600","인천광역시 연수구 송도교육로 19(송도동)","1","126.65585160255426","37.37401107987237","인천광역시 연수구 송도동 191-5","032-930-7500"
"4421000000","40","4421039000","","","서산고등학교 운동장","18244","15051","4421039021","충청남도 서산시 해미면 서문3길 37","1","126.54671788215627","36.71516352306818","충청남도 서산시 해미면 읍내리 426","041-689-0714"
"5218000000","78","5218058000","","332-0","정일초등학교 운동장","3735","3082","5218012400","전북특별자치도 정읍시 정문들목길 26-19 (용계동)","1","126.82074308395386","35.589934867146","전북특별자치도 정읍시 용계동 332","063-539-5963"
"2723000000","148","2723069000","","925-0","태봉공원","2778","2292","2723013100","","1","128.61647923162053","35.94627156786979","대구광역시 북구 연경동 925","053-665-4355"
"1162000000","126","1162051000","","1707-2","봉천어린이공원","789","651","1162010100","","1","126.96446925401689","37.46926163942173","서울특별시 관악구 봉천동 1707-2","02-879-4446"
"1162000000","131","1162064000","","746-32","대협어린이공원","474","391","1162010200","","1","126.9133758544922","37.47483254109736","서울특별시 관악구 신림동 746-32","02-879-4596"
"1162000000","120","1162051000","","148-103","장미어린이공원","513","423","1162010100","","1","126.96239546957014","37.479126382006996","서울특별시 관악구 봉천동 148-103","02-879-4362"
"2771000000","72","2771025600","","1676-0","세천1호공원","19018","15690","2771025626","","1","128.47153419130703","35.876777837691115","대구광역시 달성군 다사읍 세천리 1676","053-668-2995"
"2826000000","158","2826062000","","1067-6","재미한창공원","2138","1764","2826011500","","1","126.71624745958697","37.59177164045035","인천광역시 서구 원당동 1067-6","032-560-4704"
"5115000000","23","5115058000","","","초당초등학교","486","1264","5115011200","","1","128.9139175415048","37.781573609927875","강원특별자치도 강릉시 초당동 산 16","033-640-5284"
"2638000000","103","2638062000","","","감천문화마을 노외공영주차장","745","615","2638010800","","1","129.00727467572258","35.091480849677566","부산광역시 사하구 감천동 17-46","051-220-4511"
"1135000000","113","1135062100","","410-1","청암중고등학교","1552","1280","1135010600","서울특별시 노원구 중계로 244(중계동)","1","127.07383096218109","37.651310577101235","서울특별시 노원구 중계동 410-1","02-930-6511"
"1174000000","120","1174056000","","","고덕중학교 운동장","4848","4000","1174010200","서울특별시 강동구 동남로82길 94(고덕동)","1","127.16131389141083","37.56019819039517","서울특별시 강동구 고덕동 223","02-2045-6006"
