"SHNTDTR_SN","ARCD","SHNT_PLACE_SN","SHNT_PLACE_NM","PSBL_NMPR","EV_ANTCTY","USE_AT","RN_DTL_ADRES","RDNMADR_CD","LO","LA","SHNT_PLACE_DTL_POSITION","SHNT_PLACE_TY_CD","ERTHQK_SHUNT_AT"
"대피지구일련번호","지역코드","대피장소일련번호","대피장소명","수용인원","해발고도","사용여부","도로명상세주소","도로명주소코드","경도","위도","대피장소상세위치","대피소종류","내진설계적용여부"
"48","4793000000","3","노음초등학교 운동장","300","7","Y","경상북도 울진군 근남면 노음6길 22","4793033021105860000010192","129.39214619796354","36.95847092754033","경상북도 울진군 근남면 노음리 535","005","N"
"49","4793000000","1","망양정","100","42","Y","","","129.4127387","36.9665837","경상북도 울진군 근남면 산포리 714","002","N"
"49","4793000000","2","해맞이공원 주차장","300","21","Y","","","129.4122693","36.9649207","경상북도 울진군 근남면 산포리 661-3","002","N"
"49","4793000000","3","산포리 641-2번지 도로일대","100","14","Y","","","129.4124329","36.9618945","경상북도 울진군 근남면 산포리 642","002","N"
"6","4711300000","1","청진1리 GS주유소 앞 ","70","30","Y","","","129.3904844","36.1790208","경상북도 포항시 북구 청하면 청진리 78","002","N"
"6","4711300000","2","스타팜펜션 앞 공터","50","20","Y","경상북도 포항시 북구 청하면 해안로 1889-9 ","4711332029104130000039930","129.3960714","36.1705054","경상북도 포항시 북구 청하면 청진리 413","002","N"
"6","4711300000","3","청진2리 선정마을입구","80","27","Y","","","129.3927884","36.1745478","경상북도 포항시 북구 청하면 청진리 309-1","002","N"
"5","4713000000","1","엘라포니시 맞은 편","1000","15","Y","","","129.4920194","35.7524659","경상북도 경주시 감포읍 대본리 산 173-1","002","N"
"5","4713000000","2","문무대왕 해양역사관","200","15","Y","경상북도 경주시 감포읍 동해안로 1473","4713025021106710000041712","129.4837797","35.7449797","경상북도 경주시 감포읍 대본리 671","002","N"
"5","4713000000","3","감포관광단지 주차장","3000","15","Y","","","129.4908929","35.7669638","경상북도 경주시 감포읍 대본리 1254","002","N"
"5","4713000000","4","대본3리마을회관","50","15","Y","경상북도 경주시 감포읍 동해안로 1497-1 ","4713025021105840000041689","129.4848955","35.7461161","경상북도 경주시 감포읍 대본리 584","002","N"
"4","4711100000","1","청림초등학교 운동장","500","9","Y","경상북도 포항시 남구 정몽주로 890(청림동)","4711110500109500000123793","129.40440505743155","35.99493254483239","경상북도 포항시 남구 청림동 934-6","003","N"
"4","4711100000","2","해병대 북문 주변","150","12","Y","경상북도 포항시 남구 동해안로 5923(일월동)","4711110600106750000122223","129.4152144","35.9940645","경상북도 포항시 남구 일월동 675-1","002","N"
"8","5183000000","1","낙산사 야산","4300","30","Y","","","128.62946333273183","38.12313018113213","강원특별자치도 양양군 강현면 전진리 산 8-2","002","N"
"8","5183000000","2","조산리 야산","1000","20","Y","","","128.627483","38.115399","강원특별자치도 양양군 강현면 주청리 산 6-2","002","N"
"12","4777000000","1","원척리 마을입구공터","270","26","Y","","","129.377638","36.2978761","경상북도 영덕군 남정면 원척리 218-1","002","N"
"22","4793000000","1","거일평화 교회","500","27","Y","","","129.4732976","36.7052659","경상북도 울진군 평해읍 거일리 157","002","N"
