"SN","FLDN_DOWA","FLDN_GRD","FLDN_AREA","FLDN_YR","FLDN_DST_NM","FLDN_CS_DTL_NM","FLDN_BGNG_YMD","FLDN_END_YMD","FLDN_BGNG_TM","FLDN_END_TM","STDG_CTPV_CD","STDG_SGG_CD","GEOM"
"일련번호","침수수심","침수등급","침수면적","침수연도","침수재해명","침수원인상세명","침수시작일자","침수종료일자","침수시작시각","침수종료시각","법정동시도코드","법정동시군구코드","지오메트리"
"118","1.24","3","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391405.9522219 4297942.3250228399,14391326.569009701 4297765.2223835699,14391439.952089099 4297713.7093513496,14391485.421653399 4297814.6775579704,14391454.7470499 4297863.8055411298,14391405.9522219 4297942.3250228399))"
"175","1.28","3","421755","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391758.689776201 4300188.5026681097,14391758.637451001 4300180.1948178802,14391759.461681301 4300161.2200514302,14391757.897237601 4300146.5141886603,14391757.369135501 4300130.75870087,14391760.9000577 4300126.9022148903,14391757.0729161 4300112.3241903996,14391756.732976999 4300110.4616256002,14391753.5921703 4300080.0009527598,14391758.672123799 4300051.9746084996,14391773.3697457 4300039.1894254899,14391786.767431101 4300047.8429942103,14391807.1840236 4300069.87681292,14391807.451730199 4300128.0911663501,14391809.794210499 4300166.8249446303,14391808.5457583 4300189.4318065997,14391806.726734901 4300206.3780947598,14391786.4500235 4300199.48293526,14391762.064730501 4300189.1998486901,14391758.689776201 4300188.5026681097))"
"98","0.75","2","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391054.734821901 4298867.38571792,14391086.1338697 4298821.4485444603,14391104.530516701 4298854.3508834904,14391124.536281001 4298890.8915752098,14391131.581721 4298903.7686101897,14391136.977634 4298907.3412532499,14391139.893624701 4298907.8512583598,14391148.250817399 4298903.9902085997,14391170.8599004 4298920.3095228104,14391158.0048103 4298939.6425577197,14391114.651285 4298909.4667840796,14391054.734821901 4298867.38571792))"
"52","0.31","1","421755","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391777.3056948 4300437.8760203598,14391772.6532287 4300408.1094303196,14391772.5204439 4300392.8858612198,14391776.659437699 4300389.2553809704,14391772.1184838 4300380.1854509097,14391772.1910975 4300372.3915230203,14391783.8045233 4300365.8189359196,14391800.520175699 4300359.1685383497,14391811.974925701 4300356.22343376,14391813.59097 4300366.4231206402,14391816.830568301 4300372.8692664001,14391828.8701309 4300388.1945098899,14391836.3312285 4300400.8689412801,14391839.430629199 4300405.24551888,14391841.2260959 4300413.9454418197,14391835.8650636 4300432.6114972504,14391826.587357899 4300442.1122964304,14391795.647186199 4300459.3385140104,14391777.3056948 4300437.8760203598))"
"91","2.15","5","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391994.174304301 4298291.6817322299,14391973.5944869 4298245.9099818598,14392083.932824999 4298195.4668773999,14392102.8277821 4298216.9974225201,14392107.822579401 4298223.1111757299,14392114.0102078 4298237.0817188099,14391994.174304301 4298291.6817322299))"
"296","1.84","2","541340","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391729.7427285 4298455.5948697003,14391667.035357499 4298422.5292625297,14391629.092126001 4298402.8353863796,14391616.2425202 4298396.0164130498,14391583.4923087 4298381.0298814801,14391536.9472268 4298356.6431135396,14391554.326101201 4298346.7634152202,14391568.5680361 4298352.3104127403,14391603.731193 4298362.9332485497,14391655.657704201 4298379.3967414098,14391700.794793401 4298394.2939175302,14391732.640961399 4298406.9916639198,14391748.721622599 4298417.8726309398,14391754.6889602 4298422.2752503697,14391760.8019931 4298427.0979564199,14391763.0796338 4298428.8941233102,14391746.211651299 4298443.1686039399,14391729.7427285 4298455.5948697003))"
"18","0.75","2","140736","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391301.3108138 4299191.7642815597,14391249.4630496 4299156.3208460202,14391210.558383601 4299124.3012212701,14391203.6034275 4299117.2818853101,14391206.1191091 4299109.3804562502,14391228.1392323 4299076.6549980696,14391331.405599101 4299146.9099672204,14391316.980439199 4299168.4265356297,14391301.3108138 4299191.7642815597))"
"28","0.86","2","421755","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14392000.292181799 4300467.8608707804,14392067.2081965 4300360.7144482499,14392090.3368668 4300375.2864875896,14392104.196875799 4300384.0306329504,14392118.141545299 4300392.7502613403,14392050.695218399 4300499.4241902297,14392000.292181799 4300467.8608707804))"
"169","1.28","3","421755","2002","2002년도 제 15호태풍 루사 집중호우","농경지 침수 및 농작물 피해, 하우스 파손","20020831","20020901","1600","0000","47","47130","POLYGON((14391839.0571946 4299814.2570558302,14391827.728891499 4299801.6945842002,14391815.7375615 4299788.39690015,14391808.034001499 4299779.8413054897,14391776.8904473 4299745.4777667299,14391788.4710066 4299737.1785610402,14391795.8846085 4299735.98381723,14391807.019808 4299739.7779467702,14391820.0322403 4299739.9746872997,14391835.637801901 4299748.45540627,14391839.776391299 4299751.2131364504,14391874.841383999 4299774.5392958904,14391866.691766299 4299784.6476359498,14391860.1556316 4299792.1364414096,14391839.0571946 4299814.2570558302))"
