발표시간,지역,발효시각,해당지역,내용
2023-01-01 0:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 01일 03시 00분,(1) 강풍주의보 발표 : 울릉도.독도,(1) 강풍주의보 발표 /   o 해제 예고: 2일 오전(09시~12시)
2023-01-01 7:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 01일 09시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 01일 09시 00분,(1) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다 / (2) 풍랑주의보 발표 : 동해남부북쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 2일 오전(09시~12시) / (2) 풍랑주의보 발표 /   o 해제 예고: 2일 늦은 오후(15시~18시)
2023-01-01 10:00,대구·경상북도,(1) 한파주의보 발표 : 2023년 01월 01일 21시 00분,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),
2023-01-02 11:00,부산·울산·경상남도,(1) 건조주의보 발표 : 2023년 01월 02일 11시 00분,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),
2023-01-02 11:00,대구·경상북도,(1) 강풍주의보 해제 : 2023년 01월 02일 11시 00분 / (2) 풍랑주의보 해제 : 2023년 01월 02일 11시 00분 / (3) 건조주의보 발표 : 2023년 01월 02일 11시 00분 / (4) 건조경보 변경 : 2023년 01월 02일 11시 00분 / (5) 풍랑주의보 해제 : 2023년 01월 02일 13시 00분,(1) 강풍주의보 해제 : 울릉도.독도 / (2) 풍랑주의보 해제 : 동해남부북쪽안쪽먼바다 / (3) 건조주의보 발표 : 경상북도(영천. 경산. 청송). 대구 / (4) 건조경보 변경 : 경상북도(울진평지) / (5) 풍랑주의보 해제 : 동해남부북쪽바깥먼바다,
2023-01-03 11:00,부산·울산·경상남도,(1) 건조주의보 발표 : 2023년 01월 03일 11시 00분 / (2) 건조경보 변경 : 2023년 01월 03일 11시 00분,(1) 건조주의보 발표 : 경상남도(통영) / (2) 건조경보 변경 : 부산. 울산,
2023-01-03 11:00,대구·경상북도,(1) 한파주의보 발표 : 2023년 01월 03일 11시 00분 / (2) 건조주의보 발표 : 2023년 01월 03일 11시 00분 / (3) 건조경보 변경 : 2023년 01월 03일 11시 00분,(1) 한파주의보 발표 : 경상북도(김천) / (2) 건조주의보 발표 : 경상북도(청도. 영양평지) / (3) 건조경보 변경 : 경상북도(영덕. 포항. 경주. 경북북동산지),
2023-01-04 11:00,대구·경상북도,(1) 건조주의보 발표 : 2023년 01월 04일 11시 00분,(1) 건조주의보 발표 : 경상북도(상주. 문경. 안동),
2023-01-05 10:00,대구·경상북도,(1) 한파주의보 해제 : 2023년 01월 05일 10시 00분,(1) 한파주의보 해제 : 경상북도(군위. 김천. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),
2023-01-06 10:00,부산·울산·경상남도,(1) 건조주의보 해제 : 2023년 01월 06일 10시 00분 / (2) 건조주의보 변경 : 2023년 01월 06일 10시 00분,(1) 건조주의보 해제 : 경상남도(양산. 창원. 김해. 밀양. 창녕. 산청. 함양. 합천. 통영. 사천. 거제) / (2) 건조주의보 변경 : 부산. 울산,
2023-01-06 10:00,대구·경상북도,(1) 건조경보 해제 : 2023년 01월 06일 10시 00분 / (2) 건조주의보 해제 : 2023년 01월 06일 10시 00분 / (3) 건조주의보 변경 : 2023년 01월 06일 10시 00분,(1) 건조경보 해제 : 경상북도(경북북동산지) / (2) 건조주의보 해제 : 경상북도(영천. 경산. 청도. 상주. 문경. 안동. 청송. 영양평지). 대구 / (3) 건조주의보 변경 : 경상북도(영덕. 울진평지. 포항. 경주),
2023-01-06 21:30,대구·경상북도,(1) 대설주의보 발표 : 2023년 01월 06일 21시 30분 / (2) 대설주의보 발표 : 2023년 01월 06일 22시 30분,(1) 대설주의보 발표 : 경상북도(문경) / (2) 대설주의보 발표 : 경상북도(영주. 봉화평지. 경북북동산지),
2023-01-06 23:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 07일 02시 00분,(1) 풍랑주의보 발표 : 남해동부안쪽먼바다. 남해동부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 8일 새벽(03시~06시)
2023-01-07 3:00,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 07일 03시 00분,(1) 대설주의보 해제 : 경상북도(문경. 영주),
2023-01-07 4:00,대구·경상북도,(1) 대설주의보 해제 : 2023년 01월 07일 04시 00분,(1) 대설주의보 해제 : 경상북도(봉화평지. 경북북동산지),
2023-01-07 12:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 07일 15시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 07일 15시 00분,(1) 풍랑주의보 발표 : 동해남부남쪽안쪽먼바다 / (2) 풍랑주의보 발표 : 동해남부남쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 8일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 8일 아침(06시~09시)
2023-01-07 12:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 07일 15시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 07일 15시 00분 / (3) 풍랑주의보 발표 : 2023년 01월 07일 15시 00분,(1) 강풍주의보 발표 : 울릉도.독도 / (2) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다 / (3) 풍랑주의보 발표 : 동해남부북쪽바깥먼바다,(1) 강풍주의보 발표 /   o 해제 예고: 8일 새벽(03시~06시) / (2) 풍랑주의보 발표 /   o 해제 예고: 8일 새벽(03시~06시) / (3) 풍랑주의보 발표 /   o 해제 예고: 8일 아침(06시~09시)
2023-01-07 16:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 07일 18시 00분,(1) 풍랑주의보 해제 : 남해동부안쪽먼바다,
2023-01-07 22:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 08일 00시 00분,(1) 풍랑주의보 해제 : 동해남부남쪽안쪽먼바다,
2023-01-07 22:00,대구·경상북도,(1) 강풍주의보 해제 : 2023년 01월 07일 22시 00분 / (2) 풍랑주의보 해제 : 2023년 01월 08일 00시 00분,(1) 강풍주의보 해제 : 울릉도.독도 / (2) 풍랑주의보 해제 : 동해남부북쪽안쪽먼바다,
2023-01-08 2:00,부산·울산·경상남도,(1) 풍랑주의보 해제 : 2023년 01월 08일 04시 00분,(1) 풍랑주의보 해제 : 동해남부남쪽바깥먼바다. 남해동부바깥먼바다,
2023-01-08 2:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 08일 02시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽바깥먼바다,
2023-01-08 10:00,대구·경상북도,(1) 건조주의보 발표 : 2023년 01월 08일 10시 00분,(1) 건조주의보 발표 : 경상북도(경북북동산지),
2023-01-09 13:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 09일 15시 00분,(1) 풍랑주의보 발표 : 동해남부북쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 10일 밤(21시~24시)
2023-01-09 18:30,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 09일 20시 00분,(1) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 10일 오전(09시~12시)
2023-01-10 10:00,부산·울산·경상남도,(1) 건조주의보 해제 : 2023년 01월 10일 10시 00분,(1) 건조주의보 해제 : 부산,
2023-01-10 11:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 10일 13시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽안쪽먼바다,
2023-01-10 17:00,대구·경상북도,(1) 풍랑주의보 해제 : 2023년 01월 10일 19시 00분,(1) 풍랑주의보 해제 : 동해남부북쪽바깥먼바다,
2023-01-11 10:00,부산·울산·경상남도,(1) 건조주의보 해제 : 2023년 01월 11일 10시 00분,(1) 건조주의보 해제 : 울산,
2023-01-12 22:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 13일 00시 00분,(1) 풍랑주의보 발표 : 남해동부바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 14일 새벽(03시~06시)
2023-01-13 3:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 13일 05시 00분,(1) 풍랑주의보 발표 : 남해동부앞바다(부산앞바다. 경남서부남해앞바다. 거제시동부앞바다). 남해동부안쪽먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 13일 밤(21시~24시)
2023-01-13 3:00,대구·경상북도,(1) 건조주의보 해제 : 2023년 01월 13일 03시 00분,(1) 건조주의보 해제 : 경상북도(영덕. 울진평지. 포항. 경주. 경북북동산지),
2023-01-13 5:00,부산·울산·경상남도,(1) 풍랑주의보 발표 : 2023년 01월 13일 07시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 13일 07시 00분,(1) 풍랑주의보 발표 : 동해남부앞바다(울산앞바다) / (2) 풍랑주의보 발표 : 동해남부남쪽안쪽먼바다. 동해남부남쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 13일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 14일 새벽(03시~06시)
2023-01-13 5:00,대구·경상북도,(1) 풍랑주의보 발표 : 2023년 01월 13일 07시 00분 / (2) 풍랑주의보 발표 : 2023년 01월 13일 07시 00분,(1) 풍랑주의보 발표 : 동해남부앞바다(경북남부앞바다. 경북북부앞바다) / (2) 풍랑주의보 발표 : 동해남부북쪽안쪽먼바다. 동해남부북쪽바깥먼바다,(1) 풍랑주의보 발표 /   o 해제 예고: 13일 밤(21시~24시) / (2) 풍랑주의보 발표 /   o 해제 예고: 17일 새벽(03시~06시)
2023-01-13 7:30,부산·울산·경상남도,(1) 호우주의보 발표 : 2023년 01월 13일 07시 30분,(1) 호우주의보 발표 : 경상남도(하동. 산청. 남해),
2023-01-13 9:00,대구·경상북도,(1) 강풍주의보 발표 : 2023년 01월 13일 09시 00분,(1) 강풍주의보 발표 : 울릉도.독도,(1) 강풍주의보 발표 /   o 해제 예고: 16일 밤(21시~24시)
2023-01-13 10:00,부산·울산·경상남도,(1) 호우주의보 발표 : 2023년 01월 13일 10시 00분,(1) 호우주의보 발표 : 경상남도(창원. 김해. 거제. 고성). 부산,
2023-01-13 10:50,부산·울산·경상남도,(1) 호우경보 변경 : 2023년 01월 13일 10시 50분,(1) 호우경보 변경 : 경상남도(거제),
2023-01-13 11:15,부산·울산·경상남도,(1) 호우주의보 발표 : 2023년 01월 13일 11시 15분,(1) 호우주의보 발표 : 경상남도(양산. 통영),
2023-01-13 12:00,부산·울산·경상남도,(1) 호우주의보 해제 : 2023년 01월 13일 12시 00분,(1) 호우주의보 해제 : 경상남도(창원. 김해. 하동. 산청. 고성. 남해),
