DTL_ADRES,USE_SE_CD,LO,VT_ACMDFCLTY_NM,RN_DTL_ADRES,ACMD_BULD_MNG_NO,BDONG_CD,ARCD,HDONG_CD,FCLTY_AR,LA,ACMDFCLTY_SN,EQK_ACMDFCLTY_ADRES,TELNO,VT_ACMD_PSBL_NMPR
Jan-37,1,126.9827271,덕성여자고등학교 운동장,서울특별시 종로구 율곡로3길 50(안국동),,1111014100,1111000000,1111054000,3560,37.57797554,25,서울특별시 종로구 안국동 37-1,02-2148-3008,4315
01월 01일,1,126.9686079,국립 서울농학교 운동장,서울특별시 종로구 필운대로 103(신교동),,1111010200,1111000000,1111051500,500,37.58484979,75,서울특별시 종로구 신교동 1-1,02-737-0659,1000
02월 11일,1,126.6596764,신송고등학교,인천광역시 연수구 신송로6번길 56(송도동),,2818510600,2818500000,2818582000,4905,37.39148115,35,인천광역시 연수구 송도동 2-11,032-851-1613,5945
635-309,1,126.9430196,은천어린이공원,,,1162010100,1162000000,1162051000,443,37.48830147,119,서울특별시 관악구 봉천동 635-309,02-879-4234,537
1310-0,1,126.7174672,새별공원,,,2826011400,2826000000,2826062000,34664,37.58182901,152,인천광역시 서구 당하동 1310,325604704,42016
,1,126.3617152,팔봉중학교 운동장,충청남도 서산시 팔봉면 팔봉2로 133,,4421033029,4421000000,4421033000,3035,36.78214019,41,충청남도 서산시 팔봉면 진장리 913,041-662-6006,3678
66-21,1,126.633262,송현초등학교 운동장,인천광역시 동구 송화로 45(송현동),,2814010300,2814000000,2814053000,4172,37.48161839,14,인천광역시 동구 송현동 66-21,032-764-4482,5056
Aug-50,1,127.009002,안녕초등학교 운동장,경기도 화성시 병점구 화산로 2(안녕동),,4159510900,4159000000,4159555000,994,37.20550435,145,경기도 화성시 병점구 안녕동 50-8,031-5189-3456,1204
400-2,1,128.9493763,대중초등학교 운동장,경상남도 김해시 대동면 대동로 287,,4825037023,4825000000,4825037000,3562,35.23626941,40,경상남도 김해시 대동면 주동리 400-2,055-331-6022,4317
378-3,1,127.033035,전주원동초등학교(운동장),전북특별자치도 전주시 덕진구 원동로 3(원동),,5271033031,5211000000,5211365000,5870,35.8510288,156,전북특별자치도 완주군 이서면 반교리 378-3,063-281-5165,7115
,1,126.3928342,부석초등학교 운동장,충청남도 서산시 부석면 취평2길 37-6 ,,4421032026,4421000000,4421032000,4985,36.71638477,42,충청남도 서산시 부석면 취평리 387-2,041-664-8601,6042
906-14,1,126.9975494,효령어린이공원,,,1165010100,1165000000,1165053000,1432,37.48316266,88,서울특별시 서초구 방배동 906-14,02-2155-7112,1735
749-0,1,127.0135986,우면수변공원,,,1165010300,1165000000,1165065000,21609,37.4558397,92,서울특별시 서초구 우면동 749,02-2155-7112,26192
999-2,1,128.5517941,관천초등학교 운동장,대구광역시 북구 구암로22길 17(태전동),,2723012600,2723000000,2723073500,4340,35.930383,152,대구광역시 북구 태전동 999-2,053-665-4355,5200
238-1,1,126.6490388,새싹공원,인천광역시 연수구 옥련로 88(옥련동),,2818510100,2818500000,2818564000,2362,37.42613005,30,인천광역시 연수구 옥련동 238-1,,2863
