LO,SHNT_PLACE_SN,RN_DTL_ADRES,SHNT_PLACE_NM,EV_ANTCTY,ARCD,SHNT_PLACE_DTL_POSITION,USE_AT,LA,SHNTDTR_SN,SHNT_PLACE_TY_CD,ERTHQK_SHUNT_AT,PSBL_NMPR,RDNMADR_CD
129.3921462,3,경상북도 울진군 근남면 노음6길 22,노음초등학교 운동장,7,4793000000,경상북도 울진군 근남면 노음리 535,Y,36.95847093,48,5,N,300,4.79303E+24
129.4127387,1,,망양정,42,4793000000,경상북도 울진군 근남면 산포리 714,Y,36.9665837,49,2,N,100,
129.4122693,2,,해맞이공원 주차장,21,4793000000,경상북도 울진군 근남면 산포리 661-3,Y,36.9649207,49,2,N,300,
129.4124329,3,,산포리 641-2번지 도로일대,14,4793000000,경상북도 울진군 근남면 산포리 642,Y,36.9618945,49,2,N,100,
129.3904844,1,,청진1리 GS주유소 앞 ,30,4711300000,경상북도 포항시 북구 청하면 청진리 78,Y,36.1790208,6,2,N,70,
129.3960714,2,경상북도 포항시 북구 청하면 해안로 1889-9 ,스타팜펜션 앞 공터,20,4711300000,경상북도 포항시 북구 청하면 청진리 413,Y,36.1705054,6,2,N,50,4.71133E+24
129.3927884,3,,청진2리 선정마을입구,27,4711300000,경상북도 포항시 북구 청하면 청진리 309-1,Y,36.1745478,6,2,N,80,
129.4920194,1,,엘라포니시 맞은 편,15,4713000000,경상북도 경주시 감포읍 대본리 산 173-1,Y,35.7524659,5,2,N,1000,
129.4837797,2,경상북도 경주시 감포읍 동해안로 1473,문무대왕 해양역사관,15,4713000000,경상북도 경주시 감포읍 대본리 671,Y,35.7449797,5,2,N,200,4.71303E+24
129.4908929,3,,감포관광단지 주차장,15,4713000000,경상북도 경주시 감포읍 대본리 1254,Y,35.7669638,5,2,N,3000,
129.4848955,4,경상북도 경주시 감포읍 동해안로 1497-1 ,대본3리마을회관,15,4713000000,경상북도 경주시 감포읍 대본리 584,Y,35.7461161,5,2,N,50,4.71303E+24
129.4044051,1,경상북도 포항시 남구 정몽주로 890(청림동),청림초등학교 운동장,9,4711100000,경상북도 포항시 남구 청림동 934-6,Y,35.99493254,4,3,N,500,4.71111E+24
129.4152144,2,경상북도 포항시 남구 동해안로 5923(일월동),해병대 북문 주변,12,4711100000,경상북도 포항시 남구 일월동 675-1,Y,35.9940645,4,2,N,150,4.71111E+24
128.6294633,1,,낙산사 야산,30,5183000000,강원특별자치도 양양군 강현면 전진리 산 8-2,Y,38.12313018,8,2,N,4300,
128.627483,2,,조산리 야산,20,5183000000,강원특별자치도 양양군 강현면 주청리 산 6-2,Y,38.115399,8,2,N,1000,
129.377638,1,,원척리 마을입구공터,26,4777000000,경상북도 영덕군 남정면 원척리 218-1,Y,36.2978761,12,2,N,270,
129.4732976,1,,거일평화 교회,27,4793000000,경상북도 울진군 평해읍 거일리 157,Y,36.7052659,22,2,N,500,
129.4740942,2,,마을뒷산 고지대,27,4793000000,경상북도 울진군 평해읍 거일리 192,Y,36.7034489,22,3,N,200,
129.4751537,3,경상북도 울진군 평해읍 울진대게로 541-21 ,마을뒷산 고지대,25,4793000000,경상북도 울진군 평해읍 거일리 220,Y,36.6999823,22,2,N,100,4.79303E+24
129.4729999,4,,마을뒷산 고지대,25,4793000000,경상북도 울진군 평해읍 거일리 산 159,Y,36.6977199,22,2,N,300,
129.4614851,1,경상북도 울진군 후포면 후포6길 10-14 ,후포등기산공원,43,4793000000,경상북도 울진군 후포면 후포리 581,Y,36.6822211,30,2,N,800,4.79304E+24
129.4607905,2,경상북도 울진군 후포면 후포로 195(서진용마맨션),용마맨션 옥상,19,4793000000,경상북도 울진군 후포면 후포리 581-5,Y,36.6816382,30,4,N,300,4.79304E+24
129.4635585,3,,등기산 주차장,25,4793000000,경상북도 울진군 후포면 후포리 563,Y,36.6817673,30,2,N,800,
129.4650203,4,,전망대,25,4793000000,경상북도 울진군 후포면 후포리 564-69,Y,36.6803067,30,2,N,100,
129.4649988,5,,망사정,21,4793000000,경상북도 울진군 후포면 후포리 산 141-1,Y,36.6802035,30,2,N,200,
128.5912049,2,,(구)측후소,30,5121000000,강원특별자치도 속초시 중앙동 469-4,Y,38.20680841,6,2,N,500,
128.5937677,1,강원특별자치도 속초시 설악금강대교로 115(청호동),설악대교,24,5121000000,강원특별자치도 속초시 청호동 1341-10,Y,38.2004539,10,3,N,300,4.22101E+24
128.593419,2,강원특별자치도 속초시 아바이마을길 27-2 (청호동),금강대교,24,5121000000,강원특별자치도 속초시 청호동 550-6,Y,38.2040875,10,3,N,500,4.22101E+24
129.3748552,1,,부구교회  뒤 밭,16,4793000000,경상북도 울진군 북면 부구리 211-11,Y,37.1055982,36,3,N,50,
129.3729883,2,경상북도 울진군 북면 부구3길 12,북면사무소,8,4793000000,경상북도 울진군 북면 부구리 175,Y,37.1049928,36,2,N,100,4.79303E+24
129.37235,3,,흥부문화체육센터,12,4793000000,경상북도 울진군 북면 부구리 159-9,Y,37.1037136,36,1,Y,50,
129.3716866,4,경상북도 울진군 북면 울진북로 2081,부구초등학교 운동장,24,4793000000,경상북도 울진군 북면 부구리 278,Y,37.10273259,36,3,N,100,4.79303E+24
129.4030452,1,경상북도 울진군 근남면 산포1길 34,방사능센터,5,4793000000,경상북도 울진군 근남면 산포리 822-3,Y,36.9613159,50,1,Y,300,4.79303E+24
129.4085786,2,,산포리 030-4번지 일대 밭,14,4793000000,경상북도 울진군 근남면 산포리 1030-4,Y,36.9588426,50,2,N,100,
129.2418417,1,,사랑애 펜션 앞 도로,15,2671000000,부산광역시 기장군 기장읍 죽성리 957,Y,35.2376781,6,3,N,360,
129.243485,2,,월전마을 야산 사거리,15,2671000000,부산광역시 기장군 기장읍 죽성리 296-1,Y,35.239763,6,3,N,2000,
129.243623,3,부산광역시 기장군 기장읍 두호길 8-16 ,왜성주차장,15,2671000000,부산광역시 기장군 기장읍 죽성리 267,Y,35.24103,6,2,N,2000,2.67103E+24
129.2394546,3,,대복수산 앞 도로,14,2671000000,부산광역시 기장군 일광면 이천리 937,Y,35.2671096,7,3,N,320,
129.2321026,4,,다미원수산 앞 도로,14,2671000000,부산광역시 기장군 일광면 삼성리 118-21,Y,35.2611462,7,3,N,800,
129.2321804,5,,비스타동원아파트 앞 도로,18,2671000000,부산광역시 기장군 일광면 이천리 산 36-50,Y,35.2702105,7,3,N,1600,
129.2566073,1,,부경대수산과학연구소 앞 야산,17,2671000000,부산광역시 기장군 일광면 동백리 251-5,Y,35.285179,8,2,N,2600,
129.2590213,1,부산광역시 기장군 장안읍 해맞이로 167,장안어린이집,15,2671000000,부산광역시 기장군 장안읍 임랑리 110-3,Y,35.3170621,9,4,N,480,2.67103E+24
129.2609659,2,,임랑야산(대덕사) 입구,11,2671000000,부산광역시 기장군 장안읍 임랑리 97-10,Y,35.3187583,9,2,N,1400,
129.2661077,3,,묘관음사 앞 도로,10,2671000000,부산광역시 기장군 장안읍 임랑리 산 2-17,Y,35.3216755,9,3,N,363,
129.2568567,1,,문동마을 뒷산(문동어업인복지회관 옆),42,2671000000,부산광역시 기장군 일광면 문동리 296,Y,35.3080381,11,2,N,2000,
129.0184861,1,"부산광역시 서구 충무대로 56(암남동, 송도탑스빌)",송도탑스빌 광장,30,2614000000,부산광역시 서구 암남동 257-4,Y,35.0778887,2,2,Y,800,2.61401E+24
