발표시간,지역,시군구,재난종류,특보등급,해당지역,연결대피유형,기준위도,기준경도,1순위_대피소명,1순위_주소,1순위_대피소유형,1순위_거리_km,2순위_대피소명,2순위_주소,2순위_대피소유형,2순위_거리_km,3순위_대피소명,3순위_주소,3순위_대피소유형,3순위_거리_km,평균거리_km
2023-01-01 10:00,경북,군위,한파,주의보,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),쉼터,36.245187447773766,128.78374589041132,금천2리경로당,경상북도 의성군 춘산면 금천2길 30 ,"한파쉼터,무더위쉼터",1.079,빙계1리경로당,경상북도 의성군 춘산면 금성현서로 1071 ,"한파쉼터,무더위쉼터",1.1,빙계1리부녀경로당,경상북도 의성군 춘산면 금성현서로 1074-14 ,"한파쉼터,무더위쉼터",1.23,1.136
2023-01-01 10:00,경북,안동,한파,주의보,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),쉼터,36.580787246126256,128.73916756226686,성도아파트경로당,"경상북도 안동시 퇴계로 282-6 (안막동, 성도아파트)","한파쉼터,무더위쉼터",0.389,청머리경로당,경상북도 안동시 상아길 112 (상아동),"한파쉼터,무더위쉼터",0.416,안막경로당,경상북도 안동시 사명당길 12,"한파쉼터,무더위쉼터",0.544,0.45
2023-01-01 10:00,경북,영주,한파,주의보,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),쉼터,36.83364468276423,128.60202526788618,현대아파트경로당,경상북도 영주시 신재로12번길 67 (현대아파트),"한파쉼터,무더위쉼터",0.823,화성리버빌경로당,경상북도 영주시 가흥동 신재로12번길 56  (가흥동),"한파쉼터,무더위쉼터",0.847,마을회관(정자),경상북도 영주시 창진로 195 (창진동),무더위쉼터,0.997,0.889
2023-01-01 10:00,경북,의성,한파,주의보,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),쉼터,36.362034135348836,128.58151422059802,괴산2리경로당,경상북도 의성군 안평면 봉호로 782 ,"한파쉼터,무더위쉼터",0.395,윈도옥경로당,경상북도 의성군 안평면 도옥1길 46 ,"한파쉼터,무더위쉼터",0.819,마전경로당,경상북도 의성군 안평면 마전길 77 ,"한파쉼터,무더위쉼터",1.125,0.78
2023-01-01 10:00,경북,청송,한파,주의보,(1) 한파주의보 발표 : 경상북도(군위. 안동. 영주. 의성. 청송. 영양평지. 봉화평지. 경북북동산지),쉼터,36.39551906622951,129.03339484262295,노래2리경로당,경상북도 청송군 안덕면 신노래길 2-29 ,"한파쉼터,무더위쉼터",2.272,금곡2리경로당,경상북도 청송군 청송읍 초막본길 19 ,"한파쉼터,무더위쉼터",3.141,청운리경로당,경상북도 청송군 청송읍 청송로 4638 ,"한파쉼터,무더위쉼터",3.217,2.877
2023-01-02 11:00,경남,밀양,건조,주의보,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),쉼터,35.480831454937345,128.76002969573935,용두경로당,"경상남도 밀양시 가곡15안길 9 (가곡동, 성원센트레빌B동)",무더위쉼터,0.248,옥합경로당,경상남도 밀양시 밀여중서길 5 (삼문동),"한파쉼터,무더위쉼터",0.299,유한강변타운경로당,"경상남도 밀양시 삼문강변로 60 (삼문동, 유한강변타운)","한파쉼터,무더위쉼터",0.373,0.306
2023-01-02 11:00,경남,창녕,건조,주의보,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),쉼터,35.50251724917275,128.4834907272506,초곡부녀경로당,경상남도 창녕군 장마면 초곡1길 16 ,"한파쉼터,무더위쉼터",0.73,어도마을회관,경상남도 창녕군 창녕읍 환곡어도로 54 ,"한파쉼터,무더위쉼터",1.1,화전회관,경상남도 창녕군 창녕읍 섬마길 68 ,"한파쉼터,무더위쉼터",1.162,0.997
2023-01-02 11:00,경남,산청,건조,주의보,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),쉼터,35.372115948271954,127.91269876798867,신기경로당,경상남도 산청군 산청읍 산청대로1286번길 15 ,"한파쉼터,무더위쉼터",0.138,심거마을회관,경상남도 산청군 신안면 산청대로1212번길 42-11,"한파쉼터,무더위쉼터",0.833,풍현장애인복지시설,경상남도 산청군 산청읍 산청대로1381번길 17 (성심원),"한파쉼터,무더위쉼터",0.969,0.647
2023-01-02 11:00,경남,함양,건조,주의보,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),쉼터,35.55014292565905,127.73342318084359,삼천경로당(삼천마을회관),경상남도 함양군 함양읍 삼천길 18 ,"한파쉼터,무더위쉼터",1.211,후동마을회관(후동경로당),경상남도 함양군 함양읍 후동길 51-1,"한파쉼터,무더위쉼터",1.385,"정취마을회관(정취경로당,노모당)",경상남도 함양군 지곡면 정취길 63 ,"한파쉼터,무더위쉼터",1.446,1.347
2023-01-02 11:00,경남,합천,건조,주의보,(1) 건조주의보 발표 : 경상남도(밀양. 창녕. 산청. 함양. 합천. 사천. 거제),쉼터,35.56938011793624,128.16082301006713,옥산동경로당,경상남도 합천군 합천읍 충효로 106-8 ,"한파쉼터,무더위쉼터",0.155,영창마을경로회관,경상남도 합천군 합천읍영창1길 9,"한파쉼터,무더위쉼터",0.188,영창야외쉼터,경상남도 합천군 합천읍 영창1길 9,무더위쉼터,0.189,0.177
