대피소명,주소,위도,경도,수용인원,시도,시군구
대중초등학교 운동장,경상남도 김해시 대동면 대동로 287,35.23626941,128.9493763,4317,경남,김해시
관천초등학교 운동장,대구광역시 북구 구암로22길 17(태전동),35.930383,128.5517941,5200,대구,북구
동천고등학교 운동장,부산광역시 남구 못골번영로 105(대연동),35.14438212,129.0874992,5876,부산,남구
오륙도초등학교 운동장,부산광역시 남구 오륙도로 57(용호동),35.10375039,129.1162257,4036,부산,남구
물금동아중학교 운동장,경상남도 양산시 물금읍 청운로 46,35.30779437,128.9932897,4606,경남,양산시
용두산 공영주차장,부산광역시 중구 대청로116번길 3(대청동1가),35.1024041,129.0330332,2909,부산,중구
연경공원,대구광역시 북구 동화천로55길 25(연경동),35.94356399,128.6232664,29747,대구,북구
관천중학교 운동장,대구광역시 북구 구암로22길 7(태전동),35.93093584,128.5523208,1980,대구,북구
서항공원,경상남도 창원시 마산합포구 드림베이대로 52(해운동),35.17650061,128.5660458,100000,경남,창원시
자명2리 마을회관 주변,경상북도 포항시 남구 연일읍 자명로145번길 4,36.01153562,129.304086,242,경북,포항시
연경초등학교 운동장,대구광역시 북구 연경중앙로11길 19(연경동),35.94534772,128.6160013,1636,대구,북구
용연초등학교 운동장,경상남도 양산시 하북면 용연로 110,35.44921699,129.0750617,4242,경남,양산시
탑리여자중학교,경상북도 의성군 금성면 탑리4길 25-6 ,36.25548261,128.6832439,2046,경북,의성군
부산아시아드 조각광장,부산광역시 동래구 사직로 45(사직동),35.19260822,129.0620379,11906,부산,동래구
만촌초등학교,대구광역시 수성구 국채보상로214길 33(만촌동),35.86698272,128.6477119,5995,대구,수성구
성신고등학교운동장,울산광역시 중구 성신고교길 26(복산동),35.56263929,129.3286192,9090,울산,중구
부산교육역사관  버스전용주차장,부산광역시 사하구 옥천로 130(감천동),35.0971422,129.0108602,2787,부산,사하구
성지초등학교 학교운동장,대구광역시 달서구 새동네로 27(용산동),35.85266423,128.5187611,4941,대구,달서구
팔달공원,대구광역시 북구 팔달로27길 117(노원동3가),35.89278893,128.569682,2446,대구,북구
대청초등학교,대구광역시 수성구 교학로12길 42(만촌동),35.85095255,128.6504441,2647,대구,수성구
어곡초등학교 운동장,경상남도 양산시 두전길 30-19 (어곡동),35.37997828,129.0294105,1575,경남,양산시
부산사직종합운동장 사직야구장 광장,부산광역시 동래구 사직로 45(사직동),35.19531936,129.0611139,7272,부산,동래구
청암중학교 운동장,경상남도 하동군 청암면 청학로 718-14 ,35.16069983,127.7981408,3442,경남,하동군
방산초등학교 운동장,경상남도 고성군 거류면 방산로 42,34.97134816,128.3639515,4685,경남,고성군
생비량초등학교 운동장,경상남도 산청군 생비량면 비량로 51-3 ,35.34629468,128.0467269,6497,경남,산청군
광안중학교 운동장,부산광역시 수영구 연수로310번길 127(광안동),35.167713,129.105319,7272,부산,수영구
