대피소명,주소,대피소유형,위도,경도,시도,시군구,지역,수용인원
(40417)참바른병원버스정류장,울산광역시 남구 삼산로 246,한파쉼터,35.538289,129.334128,울산,남구,울산 남구,
(40404)공업탑버스정류장,울산광역시 남구 삼산로 17,한파쉼터,35.533117,129.309767,울산,남구,울산 남구,
(40403)공업탑버스정류장,울산광역시 남구 삼산로 24 (프라자빌딩),한파쉼터,35.5327,129.310409,울산,남구,울산 남구,
(40402)공업탑버스정류장,울산광역시 남구 삼산로 11,한파쉼터,35.53299,129.309268,울산,남구,울산 남구,
(40401)공업탑버스정류장,울산광역시 남구 삼산로 18,한파쉼터,35.532561,129.309976,울산,남구,울산 남구,
(31714)보람병원입구버스정류장,울산광역시 남구 화합로 194,한파쉼터,35.541793,129.33974,울산,남구,울산 남구,
(31713)보람병원입구버스정류장,울산광역시 남구 삼산동 1569-1,한파쉼터,35.541963,129.338829,울산,남구,울산 남구,
(31115)달동사거리버스정류장,울산광역시 남구 신정동 658-6,한파쉼터,35.535072,129.313754,울산,남구,울산 남구,
(31114)달동사거리버스정류장,울산광역시 남구 중앙로 166,한파쉼터,35.535857,129.31406,울산,남구,울산 남구,
(31109)시청앞버스정류장,울산광역시 남구 신정동 646-4,한파쉼터,35.539127,129.312301,울산,남구,울산 남구,
(31106)신정시장앞버스정류장,울산광역시 남구 중앙로 260,한파쉼터,35.543919,129.310882,울산,남구,울산 남구,
(31105)신정시장앞버스정류장,울산광역시 남구 중앙로 261,한파쉼터,35.543997,129.310259,울산,남구,울산 남구,
(30708)울산대버스정류장,울산광역시 남구 대학로 100,한파쉼터,35.543796,129.260415,울산,남구,울산 남구,
(30707)울산대버스정류장,울산광역시 남구 대학로 93 (울산대학교),한파쉼터,35.542911,129.259073,울산,남구,울산 남구,
(30704)신복교차로버스정류장,울산광역시 남구 무거동 499-3,한파쉼터,35.548836,129.263075,울산,남구,울산 남구,
(24811)장생포고래박물관버스정류장,울산광역시 남구 매암동 139-93,한파쉼터,35.503131,129.380255,울산,남구,울산 남구,
BNK경남은행울산자유무역지점,울산광역시 울주군 청량읍처용산업3길 162,한파쉼터,35.4809119,129.3271234,울산,울주군,울산 울주군,
BNK경남은행문수로지점,울산광역시 남구 문수로 377 (대공원센트럴하임더시티),한파쉼터,35.534675,129.294804,울산,남구,울산 남구,
8.9통경로당,경상북도 영천시 완산동 906-34,한파쉼터,35.9619207,128.9380601,경북,영천시,경북 영천시,
(초계면)대동경로당,경상남도 합천군 초계면 대동길 26,한파쉼터,35.5618062,128.2503056,경남,합천군,경남 합천군,
(40418)참바른병원버스정류장,울산광역시 남구 삼산로 251 (대우증권(주)),한파쉼터,35.539182,129.334431,울산,남구,울산 남구,
(40419)시외버스터미널버스정류장,울산광역시 남구 삼산동 561-12,한파쉼터,35.539388,129.337957,울산,남구,울산 남구,
(봉산면)술곡경로당,경상남도 합천군 봉산면 술곡2길 15-8,한파쉼터,35.576256,127.9906362,경남,합천군,경남 합천군,
(매안2구)야동마을경로당,경상남도 합천군 가야면 매안리 773,한파쉼터,35.727961,128.104452,경남,합천군,경남 합천군,
태전1동주민센터,대구광역시 북구 태전로7길 10-24 (태전1동 행정복지센터),한파쉼터,35.924064,128.543221,대구,북구,대구 북구,
태전2동행정복지센터,대구광역시 북구 칠곡중앙대로52길 32 (태전2동 행정복지센터),한파쉼터,35.921461,128.548755,대구,북구,대구 북구,
(40605)법원버스정류장,울산광역시 남구 옥동 297,한파쉼터,35.535199,129.288592,울산,남구,울산 남구,
(40420)시외버스터미널버스정류장,울산광역시 남구 삼산동 561-12,한파쉼터,35.539388,129.337957,울산,남구,울산 남구,
(하신리)술곡경로당,"경상남도 합천군 쌍백면 하신술곡길 213 , 술곡경로당",한파쉼터,35.468219,128.1235032,경남,합천군,경남 합천군,
태화(본점)새마을금고,울산광역시 중구 유곡로 33,한파쉼터,35.5564034,129.3058041,울산,중구,울산 중구,
3통경로당,경상북도 영천시 완산동 966-16,한파쉼터,35.9649405,128.9400101,경북,영천시,경북 영천시,
(황산리)가야경로당,경상남도 합천군 가야면 가야시장로 55-1 ,한파쉼터,35.7597359,128.1385633,경남,합천군,경남 합천군,
병영(본점)새마을금고,울산광역시 중구 병영로 6,한파쉼터,35.5698808,129.3462756,울산,중구,울산 중구,
보현2리경로당,대구광역시 군위군 소보면 보현2길 35 ,한파쉼터,36.2961211,128.4305835,대구,군위군,대구 군위군,
보현1리경로당,대구광역시 군위군 소보면 소보안계로 650 ,한파쉼터,36.3039031,128.4588969,대구,군위군,대구 군위군,
본리2리경로당,대구광역시 달성군 화원읍 마비정길 268 ,한파쉼터,35.7782518,128.5423753,대구,달성군,대구 달성군,
사천시청한파응급대피소,경상남도 사천시 용현면 시청로 77 (사천시청),한파쉼터,35.003434,128.064561,경남,사천시,경남 사천시,
사촌1리경로당,경상북도 의성군 점곡면 사촌1길 219 ,한파쉼터,36.442541,128.7539184,경북,의성군,경북 의성군,
보실경로당,경상북도 예천군 효자면 하보곡길 45 (보곡리농업인건강관리실),한파쉼터,36.771066,128.444541,경북,예천군,경북 예천군,
보담경로당,경상남도 밀양시 하남읍 남전2길 7 ,한파쉼터,35.4135354,128.7136049,경남,밀양시,경남 밀양시,
복지회관경로당(남),부산광역시 연제구 아시아드대로22번길 15 (거제2동복지회관),한파쉼터,35.187613,129.070168,부산,연제구,부산 연제구,
복지회관경로당(여),부산광역시 연제구 아시아드대로22번길 15 (거제2동복지회관),한파쉼터,35.187613,129.070168,부산,연제구,부산 연제구,
보월1리마을회관,경상북도 성주군 수륜면 보월리 529-1,한파쉼터,35.80362,128.267325,경북,성주군,경북 성주군,
병수1리경로당,대구광역시 군위군 효령면 간동길 19 ,한파쉼터,36.1748104,128.584918,대구,군위군,대구 군위군,
산남경로당,경상남도 창원시 의창구 동읍 봉강가술로 203 ,한파쉼터,35.3522798,128.6771482,경남,창원시,경남 창원시,
사벌문화복지센터,경상북도 상주시 사벌국면 상풍로 467 ,한파쉼터,36.4679,128.2117,경북,상주시,경북 상주시,
추량1리경로당,경상북도 김천시 대덕면 추량1길 107 ,한파쉼터,35.9211286,127.9805146,경북,김천시,경북 김천시,
내곡마을회관,경상남도 함양군 함양읍 함양로 405 ,한파쉼터,35.4799715,127.6756786,경남,함양군,경남 함양군,
대각마을회관,경상남도 진주시 수곡면 곤수로1230번길 29-6 ,한파쉼터,35.2195454,127.9355717,경남,진주시,경남 진주시,
내동마을회관(내동노모당),경상남도 함양군 수동면 수동내동안길 46,한파쉼터,35.521074,127.790011,경남,함양군,경남 함양군,
대곡2리경로당(길안면),경상북도 안동시 길안면 모현검단길 261,한파쉼터,36.4833983,128.9691161,경북,안동시,경북 안동시,
내동경로당,경상북도 예천군 호명읍 내신1길 183 ,한파쉼터,36.6175122,128.441893,경북,예천군,경북 예천군,
내백마을회관(내백노모당),경상남도 함양군 수동면 내백길 22 ,한파쉼터,35.596139,127.8057384,경남,함양군,경남 함양군,
전하1동행정복지센터버스승강장(전하시장앞방면),울산광역시 동구 전하동 314,한파쉼터,35.517278,129.431871,울산,동구,울산 동구,
정2리경로당,대구광역시 군위군 군위읍 정2길 18 ,한파쉼터,36.2496758,128.5698102,대구,군위군,대구 군위군,
범서농협본점,울산광역시 울주군 범서읍 점촌6길 34,한파쉼터,35.5693144,129.2396957,울산,울주군,울산 울주군,
