대피소명,주소,위도,경도,수용인원,지역,시도,시군구
노음초등학교 운동장,경상북도 울진군 근남면 노음6길 22,36.95847093,129.3921462,300,경상북도,경북,울진군
부경대수산과학연구소 공터,경상북도 포항시 북구 청하면 해안로 1889-9 ,36.1705054,129.3960714,50,경상북도,경북,포항시
문무대왕 해양역사관,경상북도 경주시 감포읍 동해안로 1473,35.7449797,129.4837797,200,경상북도,경북,경주시
대본3리마을회관,경상북도 경주시 감포읍 동해안로 1497-1 ,35.7461161,129.4848955,50,경상북도,경북,경주시
청림초등학교 운동장,경상북도 포항시 남구 정몽주로 890(청림동),35.99493254,129.4044051,500,경상북도,경북,포항시
해병대 북문 주변,경상북도 포항시 남구 동해안로 5923(일월동),35.9940645,129.4152144,150,경상북도,경북,포항시
마을뒷산 고지대,경상북도 울진군 평해읍 울진대게로 541-21 ,36.6999823,129.4751537,100,경상북도,경북,울진군
후포등기산공원,경상북도 울진군 후포면 후포6길 10-14 ,36.6822211,129.4614851,800,경상북도,경북,울진군
용마맨션 옥상,경상북도 울진군 후포면 후포로 195(서진용마맨션),36.6816382,129.4607905,300,경상북도,경북,울진군
북면사무소,경상북도 울진군 북면 부구3길 12,37.1049928,129.3729883,100,경상북도,경북,울진군
부구초등학교 운동장,경상북도 울진군 북면 울진북로 2081,37.10273259,129.3716866,100,경상북도,경북,울진군
방사능센터,경상북도 울진군 근남면 산포1길 34,36.9613159,129.4030452,300,경상북도,경북,울진군
왜성주차장,부산광역시 기장군 기장읍 두호길 8-16 ,35.24103,129.243623,2000,부산광역시,부산,기장군
장안어린이집,부산광역시 기장군 장안읍 해맞이로 167,35.3170621,129.2590213,480,부산광역시,부산,기장군
송도탑스빌 광장,"부산광역시 서구 충무대로 56(암남동, 송도탑스빌)",35.0778887,129.0184861,800,부산광역시,부산,서구
망양정옛터,경상북도 울진군 기성면 망양로 157,36.8498053,129.4274667,30,경상북도,경북,울진군
삼성모텔  뒤 야산,경상북도 울진군 기성면 망양로 111,36.8463711,129.4295508,30,경상북도,경북,울진군
직산1리마을회관 뒤 고지대,경상북도 울진군 평해읍 제장로 129-23 ,36.7322808,129.4746333,50,경상북도,경북,울진군
어업무선국송신소,경상북도 울진군 후포면 동해대로 307-18 ,36.6691117,129.4347811,300,경상북도,경북,울진군
교원사택,경상북도 울진군 울진읍 울진북로 925,37.0237023,129.4085571,500,경상북도,경북,울진군
연지1리 마을회관,경상북도 울진군 울진읍 현내항길 307,36.9914818,129.4153109,200,경상북도,경북,울진군
대동빌라,경상북도 울진군 울진읍 현내항길 189-6 ,36.9915997,129.4143748,180,경상북도,경북,울진군
두송종합사회복지관 앞 주차장,"부산광역시 사하구 다송로 59(다대동, 다대4지구도개공영구임대아파트)",35.0623,128.9848,1200,부산광역시,부산,사하구
수영구청,부산광역시 수영구 남천동로 100(남천동),35.1453222,129.1128912,6880,부산광역시,부산,수영구
코오롱하늘채아파트,부산광역시 수영구 남천동로 33(남천동),35.1424342,129.1123216,53218,부산광역시,부산,수영구
민락초등학교 운동장,부산광역시 수영구 광남로257번길 12(민락동),35.16081269,129.1268676,8798,부산광역시,부산,수영구
민락동행정복지센터,부산광역시 수영구 광안해변로295번길 20(민락동),35.1573369,129.125399,813,부산광역시,부산,수영구
백산,부산광역시 수영구 광남로257번길 58(민락동),35.1621787,129.1254473,4947,부산광역시,부산,수영구
송도해수욕장 공영주차장,부산광역시 서구 암남공원로 25(암남동),35.0739463,129.0154874,4000,부산광역시,부산,서구
송도초등학교 운동장,부산광역시 서구 충무대로 25(암남동),35.07831211,129.0156518,4800,부산광역시,부산,서구
컴온비치호텔  주차장,울산광역시 북구 동해안로 1517(정자동),35.6212379,129.4458717,1200,울산광역시,울산,북구
감포초등학교 운동장,경상북도 경주시 감포읍 감포로10길 21,35.80993767,129.5019626,1300,경상북도,경북,경주시
감포읍 행정복지센터,경상북도 경주시 감포읍 감포로8길 14-6 ,35.8073988,129.5015788,500,경상북도,경북,경주시
감포읍 주민복지회관 ,경상북도 경주시 감포읍 동해안로 2153,35.7990454,129.4933283,600,경상북도,경북,경주시
"W펜션(구,아이씨프라자)",경상북도 영덕군 남정면 동해대로 4000,36.3165939,129.378493,150,경상북도,경북,영덕군
제당뒷산,경상북도 영덕군 남정면 구계2길 14-10 ,36.321268,129.3780926,220,경상북도,경북,영덕군
영덕경찰수련원,경상북도 영덕군 병곡면 영덕로 2108-152 ,36.56865887,129.4167051,300,경상북도,경북,영덕군
정구장,경상북도 울진군 죽변면 등대길 63,37.0572962,129.4281077,450,경상북도,경북,울진군
죽변초등학교 운동장,경상북도 울진군 죽변면 죽변3길 17,37.06249894,129.4212881,450,경상북도,경북,울진군
죽변 중·고등학교,경상북도 울진군 죽변면 죽변4길 19,37.0645479,129.4208068,500,경상북도,경북,울진군
동도빌라,경상북도 울진군 죽변면 죽변9길 74,37.0599932,129.4182453,500,경상북도,경북,울진군
용진모텔  뒤 공터,경상북도 울진군 죽변면 죽변10길 6-8 ,37.0575888,129.4172409,100,경상북도,경북,울진군
송림공원,부산광역시 서구 송도해변로 171(암남동),35.0767604,129.0230513,6000,부산광역시,부산,서구
벽산블루밍 APT  주차장,울산광역시 북구 동해안로 1500(정자동),35.6198891,129.4475292,2000,울산광역시,울산,북구
강동동행정복지센터 주차장,울산광역시 북구 무룡로 1096(정자동),35.6129906,129.4454321,1200,울산광역시,울산,북구
정자오피스텔 주차장,울산광역시 북구 동해안로 1350(구유동),35.6112653,129.4566927,1200,울산광역시,울산,북구
우가경로당 주차장,울산광역시 북구 동해안로 1114(당사동),35.5957108,129.4628376,120,울산광역시,울산,북구
읍천1리마을회관뒤,경상북도 경주시 양남면 양남항구길 17,35.6909665,129.4735229,3000,경상북도,경북,경주시
동해초등학교 운동장,경상북도 포항시 남구 동해면 일월로 78,35.98836517,129.4410487,267,경상북도,경북,포항시
벤트풀빌라 옆,경상북도 포항시 남구 호미곶면 일출로 530,36.0359452,129.5778449,50,경상북도,경북,포항시
강구초등학교,경상북도 영덕군 강구면 나비산길 8,36.35644106,129.3786265,500,경상북도,경북,영덕군
강구정보고,경상북도 영덕군 강구면 신강구1길 45-5 ,36.3534501,129.3800609,1200,경상북도,경북,영덕군
동해안휴게소,경상북도 영덕군 병곡면 백석1길 7,36.623426,129.4110461,300,경상북도,경북,영덕군
사진3리 마을 뒤 야산,경상북도 영덕군 영해면 영덕대게로 2247-51 ,36.5207759,129.4416143,100,경상북도,경북,영덕군
대항교회,부산광역시 기장군 기장읍 대변로 149,35.22631611,129.2286466,1200,부산광역시,부산,기장군
기장문화예절학교,부산광역시 기장군 장안읍 해맞이로 311-31 ,35.3256212,129.2685592,3600,부산광역시,부산,기장군
진하회관(건물),울산광역시 울주군 서생면 나루터길 29,35.3866,129.3425,400,울산광역시,울산,울주군
수제마을 소공원,경상북도 경주시 문무대왕면 봉길수제길 17,35.7362388,129.4820952,200,경상북도,경북,경주시
나산초등학교 운동장,경상북도 경주시 양남면 동해안로 625-9 ,35.69791737,129.4701725,1000,경상북도,경북,경주시
양남중학교 운동장,경상북도 경주시 양남면 양남로 325-3 ,35.67411992,129.4605032,1000,경상북도,경북,경주시
